交易日期,开盘价,最高价,最低价,收盘价,前收盘价,涨跌额,涨跌幅(%),成交量(手),成交额(元)
20250704,1359.8180739,1375.36900603,1354.35267527,1366.08070994,1359.7220212,6.358688739999934,0.4676,2876691,4086547267.71
20250707,1366.13834156,1367.3101845,1354.35267527,1355.0154389,1366.08070994,-11.06527103999997,-0.81,2385467,3370562659.31
20250708,1355.02504417,1363.94834,1355.0154389,1360.21188997,1355.0154389,5.196451069999966,0.3835,1867370,2643302690.74
20250709,1359.145705,1373.52479419,1358.34846759,1362.87254976,1360.21188997,2.6606597900001816,0.1956,2774532,3950810723.36
20250710,1362.95899719,1379.48966686,1354.7272808,1370.1917655,1362.87254976,7.3192157399998905,0.537,3872503,5503329754.22
20250711,1366.98360532,1400.448366,1366.98360532,1370.672029,1370.1917655,0.4802635000000919,0.0351,5724335,8239010389.77
20250714,1373.55361,1378.33703446,1365.4851832,1367.4062372,1370.672029,-3.265791799999988,-0.2383,2778094,3961736006.36
20250715,1364.88965646,1366.76268411,1352.72938464,1355.303597,1367.4062372,-12.102640199999996,-0.8851,3540578,5005150164.61
20250716,1354.35267527,1361.53741723,1354.29504365,1355.33241281,1355.303597,0.028815809999969133,0.0021,2128605,3006882578.86
20250717,1358.16596746,1366.83952627,1357.10938776,1360.44241645,1355.33241281,5.110003640000059,0.377,2310554,3273100406.19
20250718,1363.94834,1381.05532587,1360.47123226,1380.277299,1360.44241645,19.834882549999975,1.458,4182341,5984949774.21
20250721,1380.26769373,1389.6904636,1378.356245,1386.040461,1380.277299,5.763161999999966,0.4175,2620331,3779891828.99
20250722,1387.000988,1408.7088982,1383.81203836,1407.15284446,1386.040461,21.112383460000046,1.5232,4211898,6127636851.04
20250723,1411.014163,1435.987865,1410.96613665,1417.2575885,1407.15284446,10.104744040000014,0.7181,4504484,6676301461.97
20250724,1417.737852,1439.829973,1416.777325,1432.6260205,1417.2575885,15.368431999999984,1.0844,3880364,5786337377.36
20250725,1432.5299678,1432.5299678,1395.645731,1397.566785,1432.6260205,-35.05923550000011,-2.4472,4191126,6140078740.77
20250728,1395.645731,1397.55717973,1379.6049301,1381.87177382,1397.566785,-15.695011179999938,-1.123,3858632,5560966385.77
20250729,1382.7746692,1391.60191233,1378.36585027,1382.198353,1381.87177382,0.32657917999995334,0.0236,2630408,3785848101.96
20250730,1387.000988,1399.64152332,1380.277299,1392.22625488,1382.198353,10.027901879999945,0.7255,3186771,4612883039.77
20250731,1386.040461,1387.83664649,1362.027286,1365.55242009,1392.22625488,-26.67383479,-1.9159,5179751,7386302757.86
20250801,1365.74452549,1369.67308092,1358.185178,1361.066759,1365.55242009,-4.485661089999894,-0.3285,2963559,4200850789.62
20250804,1359.145705,1363.7562346,1358.185178,1362.987813,1361.066759,1.9210539999999128,0.1411,1868795,2647105740.47
20250805,1364.908867,1373.49597838,1361.17241697,1371.38281898,1362.987813,8.39500597999995,0.6159,2534227,3607931487.62
20250806,1372.593083,1372.593083,1363.2759711,1367.67518476,1371.38281898,-3.707634219999818,-0.2704,2369928,3372334939.9
20250807,1367.67518476,1371.3443979,1364.00597162,1366.20557845,1367.67518476,-1.4696063100000174,-0.1075,2800134,3988765794.59
20250808,1366.87794735,1370.1917655,1362.027286,1364.88005119,1366.20557845,-1.3255272600001717,-0.097,1865528,2651478117.98
20250811,1367.3101845,1394.67559873,1366.829921,1387.961515,1364.88005119,23.08146381000006,1.6911,4715907,6794034089.86
20250812,1391.803623,1407.23929189,1379.316772,1380.31572008,1387.961515,-7.645794920000071,-0.5509,4201923,6095342035.74
20250813,1368.750975,1377.08834936,1363.94834,1363.99636635,1380.31572008,-16.319353729999875,-1.1823,6552754,9325460101.11
20250814,1364.85123538,1390.37243777,1364.85123538,1370.66242373,1363.99636635,6.666057379999984,0.4887,4812930,6897535330.17
20250815,1369.72110727,1372.26650382,1364.15965594,1365.94623616,1370.66242373,-4.716187570000102,-0.3441,4758165,6772436996.79
20250818,1370.66242373,1379.93150928,1366.9259737,1372.1128195,1365.94623616,6.166583339999988,0.4515,4737798,6773477871.39
20250819,1376.9154545,1389.55598982,1375.474664,1381.237826,1372.1128195,9.125006500000154,0.665,4637186,6678541000.8
20250820,1381.237826,1395.4536256,1373.57282054,1392.76415,1381.237826,11.526323999999931,0.8345,4580466,6623095725.06
20250821,1396.07796815,1397.55717973,1386.66480355,1391.08322775,1392.76415,-1.6809222499998668,-0.1207,3089057,4470441662.41
20250822,1391.68835976,1406.211528,1387.74059379,1406.16350165,1391.08322775,15.080273899999838,1.0841,4497058,6544867367.85
20250825,1411.98429527,1436.948392,1408.132582,1431.50220391,1406.16350165,25.33870225999999,1.802,6532455,9676719497.55
20250826,1431.49259864,1435.24825921,1421.58956527,1423.12640847,1431.50220391,-8.375795440000047,-0.5851,3960213,5883917000.27
20250827,1423.38575076,1426.31535811,1390.843096,1390.843096,1423.12640847,-32.28331246999983,-2.2685,5600609,8184169112.68
20250828,1390.81428019,1398.6233647,1381.97743179,1389.0180947,1390.843096,-1.8250013000001672,-0.1312,3928177,5683673273.48
20250829,1395.645731,1424.05811966,1394.685204,1421.57996,1389.0180947,32.561865300000136,2.3442,6225648,9159701454.16
20250901,1423.6931194,1429.264176,1407.8444239,1417.8339047,1421.57996,-3.74605530000008,-0.2635,4512338,6658918555.35
20250902,1420.29285382,1449.435243,1419.658906,1432.4339151,1417.8339047,14.600010399999974,1.0297,5668837,8470012816.38
20250903,1432.145757,1444.1523445,1408.132582,1422.10824985,1432.4339151,-10.325665249999929,-0.7208,4504503,6656011144.64
20250904,1413.895744,1420.9075911,1402.82086769,1414.52969182,1422.10824985,-7.5785580300000674,-0.5329,4774676,7017084749.97
20250905,1412.935217,1428.27483319,1406.211528,1424.461541,1414.52969182,9.931849179999972,0.7021,3738848,5519312162.71
20250908,1424.461541,1446.97629388,1419.1786425,1441.97194821,1424.461541,17.51040721000004,1.2293,5138298,7682065696.25
20250909,1445.593135,1450.34774365,1434.47023234,1445.593135,1441.97194821,3.621186790000138,0.2511,3574277,5366650005.04
20250910,1447.18760982,1469.55828365,1436.948392,1461.93169927,1445.593135,16.338564270000006,1.1302,4966331,7541460048.95
20250911,1461.93169927,1465.78341254,1448.9549795,1463.3628845,1461.93169927,1.4311852299999828,0.0979,3723896,5642778455.82
20250912,1465.764202,1477.30973654,1450.90484931,1456.158932,1463.3628845,-7.203952500000014,-0.4923,3372209,5132184935.11
20250915,1456.03406349,1457.58051196,1442.2312905,1455.2944577,1456.158932,-0.8644742999999835,-0.0594,2582703,3901929717.6
20250916,1455.2944577,1460.95196173,1437.15010267,1440.77128946,1455.2944577,-14.523168240000132,-0.998,3271789,4928374477.56
20250917,1440.78089473,1450.66471756,1431.19483527,1434.066811,1440.77128946,-6.7044784600000185,-0.4653,3033054,4534770634.47
20250918,1433.106284,1438.6773406,1405.7312645,1410.01521492,1434.066811,-24.051596079999854,-1.6772,4972125,7347477478.96
20250919,1410.04403073,1417.2575885,1399.49744427,1410.02482019,1410.01521492,0.009605269999838129,0.0007,3263662,4784528851.26
20250922,1407.25850243,1410.02482019,1392.77375527,1395.98191545,1410.02482019,-14.042904739999813,-0.9959,3494708,5085057536.09
20250923,1393.2444135,1399.9681025,1383.15888,1390.28599034,1395.98191545,-5.695925110000189,-0.408,3866300,5588384387.76
20250924,1377.46295489,1399.27652306,1377.46295489,1385.079934,1390.28599034,-5.2060563399998045,-0.3745,3074350,4443052872.0
20250925,1385.87717141,1388.16322567,1379.316772,1382.198353,1385.079934,-2.8815810000000965,-0.208,3386973,4873274661.35
20250926,1384.29230186,1389.98822697,1371.64216127,1378.356245,1382.198353,-3.842108000000053,-0.278,4512071,6480889596.65
20250929,1382.56335326,1411.96508473,1378.356245,1403.19547322,1378.356245,24.839228219999995,1.8021,5368403,7798434585.87
20250930,1402.36942,1403.09942052,1383.15888,1386.99138273,1403.19547322,-16.20409049,-1.1548,3936362,5687474875.7
20251009,1379.316772,1382.56335326,1363.94834,1380.06598306,1386.99138273,-6.925399669999933,-0.4993,5491812,7845448946.72
20251010,1380.8536152,1383.10124838,1371.1522925,1373.55361,1380.06598306,-6.512373060000073,-0.4719,3600144,5157459262.02
20251013,1359.8180739,1366.68584195,1359.26096824,1363.1799184,1373.55361,-10.37369160000003,-0.7552,4606880,6533147457.76
20251014,1373.54400473,1406.211528,1373.54400473,1393.74388754,1363.1799184,30.563969140000154,2.2421,6667233,9639484605.16
20251015,1393.70546646,1405.251001,1388.03835716,1404.290474,1393.74388754,10.546586459999844,0.7567,4278540,6233407482.18
20251016,1404.21363184,1426.33456865,1401.29362976,1426.29614757,1404.290474,22.00567357,1.567,4573015,6749162949.17
20251017,1424.5575937,1429.264176,1396.63507381,1397.566785,1426.29614757,-28.72936256999992,-2.0143,3808589,5594724899.72
20251020,1397.566785,1411.4944265,1397.45152176,1400.38112911,1397.566785,2.8143441100000928,0.2014,2594988,3793283758.73
20251021,1401.408893,1411.91705838,1398.0470485,1404.54021102,1400.38112911,4.159081909999941,0.297,2544267,3727984130.33
20251022,1404.36731616,1407.87323971,1398.527312,1401.1207349,1404.54021102,-3.4194761200001267,-0.2435,1819492,2657486636.22
20251023,1397.566785,1410.8220576,1390.0746744,1410.03442546,1401.1207349,8.913690560000077,0.6362,2932235,4274652090.39
20251024,1410.00560965,1420.50416976,1392.13020218,1392.76415,1410.03442546,-17.270275459999993,-1.2248,3822583,5578603148.43
20251027,1383.15888,1395.15586223,1379.30716673,1383.55269607,1392.76415,-9.211453930000062,-0.6614,3710239,5352667151.51
20251028,1385.079934,1393.9167824,1384.2154597,1387.961515,1383.55269607,4.408818930000052,0.3187,2712433,3923817140.03
20251029,1383.17809054,1389.45033185,1373.59203108,1375.3786113,1387.961515,-12.58290369999986,-0.9066,3393711,4868780319.17
20251030,1365.68689387,1379.92190401,1365.68689387,1370.42229198,1375.3786113,-4.956319320000148,-0.3604,4745610,6768821310.66
20251031,1365.869394,1379.29756146,1364.05399797,1373.56321527,1370.42229198,3.140923290000046,0.2292,3569377,5109623860.84
20251103,1374.514137,1390.843096,1364.0443927,1378.356245,1373.56321527,4.793029729999944,0.3489,3454766,4945310830.23
20251104,1378.4522977,1379.10545606,1367.57913206,1372.593083,1378.356245,-5.763161999999966,-0.4181,2656572,3793892903.12
20251105,1369.60584403,1374.50453173,1363.95794527,1364.02518216,1372.593083,-8.567900839999993,-0.6242,3447527,4908475372.84
20251106,1373.55361,1384.55164415,1373.54400473,1378.48111351,1364.02518216,14.4559313499999,1.0598,3834782,5505960414.53
20251107,1378.46190297,1382.94756406,1374.61979497,1376.75216491,1378.48111351,-1.728948599999967,-0.1254,1886139,2704995856.01
20251110,1378.356245,1405.91376463,1378.33703446,1404.5786321,1376.75216491,27.82646719000013,2.0212,4945154,7181246441.08
20251111,1404.290474,1404.46336886,1389.882569,1401.39928773,1404.5786321,-3.1793443700000807,-0.2264,2669156,3882776771.77
20251112,1402.35020946,1420.00469572,1401.61060367,1407.31613405,1401.39928773,5.916846320000104,0.4222,3299210,4849073050.81
20251113,1404.40573724,1415.41337666,1400.448366,1412.33969026,1407.31613405,5.023556209999924,0.357,3117923,4569178268.97
20251114,1411.97469,1420.57140665,1398.8154701,1399.1036282,1412.33969026,-13.236062059999995,-0.9372,2747306,4031007105.91
20251117,1396.606258,1414.856271,1388.72033133,1412.935217,1399.1036282,13.831588799999963,0.9886,3446221,5035780026.54
20251118,1412.6470589,1427.41035889,1411.014163,1417.737852,1412.935217,4.802635000000009,0.3399,3420478,5055675473.58
20251119,1415.816798,1421.12851231,1411.93626892,1412.94482227,1417.737852,-4.793029729999944,-0.3381,2204537,3249449213.62
20251120,1413.895744,1421.4839073,1407.20087081,1409.19876697,1412.94482227,-3.74605530000008,-0.2651,2400232,3531653942.73
20251121,1412.4549535,1421.57996,1398.527312,1408.7088982,1409.19876697,-0.48986876999993,-0.0348,4260720,6259873432.52
20251124,1409.093109,1412.935217,1393.84954551,1394.685204,1408.7088982,-14.023694199999909,-0.9955,3360744,4901903704.77
20251125,1400.448366,1400.448366,1387.4812515,1387.62533055,1394.685204,-7.059873450000168,-0.5062,2844069,4119930011.48
20251126,1391.68835976,1396.11638923,1386.59756666,1391.94770205,1387.62533055,4.322371500000145,0.3115,2030616,2938818094.58
20251127,1392.2838865,1392.76415,1382.23677408,1390.1707271,1391.94770205,-1.776974950000067,-0.1277,2228689,3216797187.48
20251128,1389.4023055,1398.0470485,1386.040461,1393.2444135,1390.1707271,3.0736864000000423,0.2211,2321121,3366696621.68
20251201,1393.724677,1404.54981629,1385.079934,1390.843096,1393.2444135,-2.4013175000000047,-0.1724,2733342,3961994999.07
20251202,1390.843096,1394.60836184,1378.37545554,1379.34558781,1390.843096,-11.497508189999962,-0.8267,2504726,3607543824.69
20251203,1379.13427187,1379.28795619,1371.632556,1372.6891357,1379.34558781,-6.656452110000146,-0.4826,2357279,3370080065.68
20251204,1372.6891357,1375.9549275,1362.39228626,1367.77123746,1372.6891357,-4.917898239999886,-0.3583,2907539,4134921901.54
20251205,1367.77123746,1376.52163843,1363.4680765,1373.56321527,1367.77123746,5.791977809999935,0.4235,2540166,3622681596.52
20251208,1372.7851884,1379.96032509,1362.027286,1362.23860194,1373.56321527,-11.32461332999992,-0.8245,3360280,4789155769.65
20251209,1362.24820721,1364.908867,1344.78582635,1345.70793227,1362.23860194,-16.53066967000018,-1.2135,4263443,5995722120.97
20251210,1344.7378,1347.4272756,1328.58173586,1347.4272756,1345.70793227,1.7193433300001288,0.1278,3313347,4625906138.96
20251211,1351.13490982,1356.25451873,1346.22661685,1356.25451873,1347.4272756,8.827243129999943,0.6551,2238501,3149974074.19
20251212,1362.027286,1368.750975,1357.77215139,1364.57268255,1356.25451873,8.318163820000109,0.6133,3715919,5273563274.4
